title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
Seven Psychopaths,tt1931533,2012,http://www.imdb.com/title/tt1931533/,10/12/2012,USA,28,/seven-psychopaths,Seven Psychopaths,10/12/2012,Martin McDonagh,Martin McDonagh,"Colin Farrell,  Christopher Walken,  Sam Rockwell",50
Sinister,tt1922777,2012,http://www.imdb.com/title/tt1922777/,10/12/2012,USA,3,/sinister,Sinister,10/5/2012,Scott Derrickson,"Scott Derrickson, C. Robert Cargill","Ethan Hawke,  Vincent D'Onofrio,  James Ransone",39
The Perks of Being a Wallflower,tt1659337,2012,http://www.imdb.com/title/tt1659337/,10/12/2012,USA,31,/the-perks-of-being-a-wallflower,The Perks of Being a Wallflower,9/14/2012,Stephen Chbosky,Stephen Chbosky,"Emma Watson,  Logan Ler­man,  Ezra Miller",42
Alex Cross,tt1712170,2012,http://www.imdb.com/title/tt1712170/,10/19/2012,USA,19,/alex-cross,Alex Cross,10/19/2012,Rob Cohen,"James Patterson, Kerry Williamson, Marc Moss","Tyler Perry,  Matthew Fox,  Rachel Nichols",42
Paranormal Activity 4,tt2109184,2012,http://www.imdb.com/title/tt2109184/,10/19/2012,USA,10,/paranormal-activity-4,Paranormal Activity 4,10/19/2012,"Henry Joost, Ariel Schulman","Zack Estrin, Oren Peli","Henry Joost,  Ariel Schulman",12
Chasing Mavericks,tt1629757,2012,http://www.imdb.com/title/tt1629757/,10/26/2012,USA,21,/chasing-mavericks,Chasing Mavericks,10/26/2012,Curtis Hanson,"Brandon Hooper, Kario Salem","Gerard Butler,  Elisabeth Shue,  Leven Rambin",7
Cloud Atlas,tt1371111,2012,http://www.imdb.com/title/tt1371111/,10/26/2012,USA,15,/cloud-atlas,Cloud Atlas,10/26/2012,"Tom Tykwer, Andy Wachowski, Lana Wachowski","Tom Tykwer, Andy Wachowski, Lana Wachowski","Tom Hanks,  Halle Berry,  Jim Broadbent",66
Fun Size,tt1663143,2012,http://www.imdb.com/title/tt1663143/,10/26/2012,USA,13,/fun-size,Fun Size,10/26/2012,Josh Schwartz,Max Werner,"Victoria Justice,  Thomas Mann,  Thomas McDonell",27
Silent Hill: Revelation 3D,tt0938330,2012,http://www.imdb.com/title/tt0938330/,10/26/2012,USA,31,/silent-hill-revelation-3d,Silent Hill: Revelation 3D,10/26/2012,Michael J. Bassett,Michael J. Bassett,"Adelaide Clemens,  Kit Harington,  Radha Mitchell",19
Flight,tt1907668,2012,http://www.imdb.com/title/tt1907668/,11/2/2012,USA,21,/flight-2012,Flight,11/2/2012,Robert Zemeckis,John Gatins,"Denzel Washington,  Kelly Reilly,  Don Cheadle",45
The Man with the Iron Fists,tt1258972,2012,http://www.imdb.com/title/tt1258972/,11/2/2012,USA,31,/the-man-iron-fists,The Man with the Iron Fists,7/4/1905,RZA,"RZA, Eli Roth","Russell Crowe,  RZA,  Lucy Liu",64
Wreck-It Ralph,tt1772341,2012,http://www.imdb.com/title/tt1772341/,11/2/2012,USA,30,/wreck-it-ralph,Wreck-It Ralph,11/2/2012,Rich Moore,Unknown or Not Available,"John C. Reilly,  Sarah Silverman,  Jack McBrayer",82
Skyfall,tt1074638,2012,http://www.imdb.com/title/tt1074638/,11/9/2012,USA,1,/skyfall,Skyfall,11/9/2012,Sam Mendes,"Neal Purvis, Robert Wade, John Logan","Daniel Craig,  Javier Bardem,  Dame Judi Dench",107
Lincoln,tt0443272,2012,http://www.imdb.com/title/tt0443272/,11/16/2012,USA,5,/lincoln,Lincoln,11/9/2012,Steven Spielberg,"Tony Kushner, Doris Kearns Goodwin","Daniel Day-Lewis,  Sally Field,  David Strathairn",84
The Sessions,tt1866249,2012,http://www.imdb.com/title/tt1866249/,11/16/2012,USA,1,/the-sessions,The Sessions,1/3/2012,Ben Lewin,Ben Lewin,"John Hawkes,  Helen Hunt,  William H. Macy",46
The Twilight Saga: Breaking Dawn - Part 2,tt1673434,2012,http://www.imdb.com/title/tt1673434/,11/16/2012,USA,30,/the-twilight-saga-breaking-dawn-part-2,The Twilight Saga: Breaking Dawn - Part 2,11/16/2012,Bill Condon,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart,  Robert Pattinson,  Taylor Lautner",132
Life of Pi,tt0454876,2012,http://www.imdb.com/title/tt0454876/,11/21/2012,USA,31,/life-of-pi,Life of Pi,11/21/2012,Ang Lee,"Yann Martel, David Magee","Suraj Sharma,  Gérard Depardieu,  Irrfan Khan",55
Red Dawn,tt1234719,2012,http://www.imdb.com/title/tt1234719/,11/21/2012,USA,32,/red-dawn,Red Dawn,11/21/2012,Dan Bradley,"Carl Ellsworth, Jeremy Passmore, Vincent Newman, Tony Gilroy","Chris Hemsworth,  Josh Peck,  Josh Hutcherson",27
Rise of the Guardians,tt1446192,2012,http://www.imdb.com/title/tt1446192/,11/21/2012,USA,31,/rise-of-the-guardians,Rise of the Guardians,11/21/2012,Peter Ramsey,David Lindsay-Abaire,"Chris Pine,  Alec Baldwin,  Hugh Jackman",74
Killing Them Softly,tt1764234,2012,http://www.imdb.com/title/tt1764234/,11/30/2012,USA,31,/killing-them-softly,Killing Them Softly,11/19/2012,Andrew Dominik,Andrew Dominik,"Brad Pitt,  James Gandolfini,  Sam Rockwell",38
The Collection,tt1748227,2012,http://www.imdb.com/title/tt1748227/,11/30/2012,USA,4,/the-collection,The Collection,11/30/2012,Marcus Dunstan,"Marcus Dunstan, Patrick Melton","Josh Stewart,  Emma Fitzpatrick,  Christopher McDonald",19
Playing for Keeps,tt1540128,2012,http://www.imdb.com/title/tt1540128/,12/7/2012,USA,31,/playing-for-keeps,Playing For Keeps,12/7/2012,Gabriele Muccino,Robbie Fox,"Gerard Butler,  Uma Thurman,  Jessica Biel",23
Hitchcock,tt0975645,2012,http://www.imdb.com/title/tt0975645/,12/14/2012,USA,1,/hitchcock,Hitchcock,11/23/2012,Sacha Gervasi,"John J. McLaughlin, Stephen Rebello","Anthony Hopkins,  Helen Mirren,  Scarlett Johansson",46
The Hobbit: An Unexpected Journey,tt0903624,2012,http://www.imdb.com/title/tt0903624/,12/14/2012,USA,31,/the-hobbit,The Hobbit: An Unexpected Journey,12/19/2012,Peter Jackson,"Fran Walsh, Philippa Boyens, Guillermo del Toro","Andy Serkis,  Ian McKellen,  Martin Freeman",144
The Guilt Trip,tt1694020,2012,http://www.imdb.com/title/tt1694020/,12/19/2012,USA,24,/the-guilt-trip,The Guilt Trip,12/25/2012,Anne Fletcher,Dan Fogelman,"Barbra Streisand,  Seth Rogen,  Adam Scott",39
Cirque du Soleil: Worlds Away,tt1792647,2012,http://www.imdb.com/title/tt1792647/,12/21/2012,USA,31,/cirque-du-soleil-worlds-away,Cirque du Soleil: Worlds Away,12/21/2012,Andrew Adamson,Andrew Adamson,Unknown or Not Available,19
Jack Reacher,tt0790724,2012,http://www.imdb.com/title/tt0790724/,12/21/2012,USA,31,/jack-reacher,Jack Reacher,12/21/2012,Christopher McQuarrie,"Josh Olson, Christopher McQuarrie","Tom Cruise,  Rosamund Pike,  David Oyelowo",59
This Is 40,tt1758830,2012,http://www.imdb.com/title/tt1758830/,12/21/2012,USA,31,/this-is-40,This Is 40,12/21/2012,Judd Apatow,Judd Apatow,"Paul Rudd,  Leslie Mann,  Megan Fox",75
Django Unchained,tt1853728,2012,http://www.imdb.com/title/tt1853728/,12/25/2012,USA,4,/django-unchained,Django Unchained,12/25/2012,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio,  Jamie Foxx,  Christoph Waltz",80
Les Mis�rables,tt1707386,2012,http://www.imdb.com/title/tt1707386/,12/25/2012,USA,28,/les-miserables,Les Misérables,12/25/2012,Tom Hooper,"William Nicholson, Alain Boublil, Claude-Michel Schönberg","Hugh Jackman,  Russell Crowe,  Amanda Seyfried",120
Parental Guidance,tt1047540,2012,http://www.imdb.com/title/tt1047540/,12/25/2012,USA,2,/parental-guidance,Parental Guidance,12/25/2012,Andy Fickman,"Joe Syracuse, Lisa Addario, Lowell Ganz, Babaloo Mandel","Billy Crystal,  Bette Midler,  Marisa Tomei",16
Silver Linings Playbook,tt1045658,2012,http://www.imdb.com/title/tt1045658/,12/25/2012,USA,10,/silver-linings-playbook,Silver Linings Playbook,11/21/2012,David O. Russell,"David O. Russell, Matthew Quick","Bradley Cooper,  Jennifer Lawrence,  Robert De Niro",85
Promised Land,tt2091473,2013,http://www.imdb.com/title/tt2091473/,1/4/2013,USA,31,/promised-land,Promised Land,12/28/2012,Gus Van Sant,"John Krasinski, Matt Damon","Matt Damon,  John Krasinski,  Frances McDormand",38
Texas Chainsaw 3D,tt1572315,2013,http://www.imdb.com/title/tt1572315/,1/4/2013,USA,31,/texas-chainsaw-3d,Texas Chainsaw 3D,1/4/2013,John Luessenhop,"Kim Henkel, Adam Marcus","Alexandra Daddario,  Tania Raymonde,  Trey Songz",19
The Impossible,tt1649419,2013,http://www.imdb.com/title/tt1649419/,1/4/2013,USA,13,/the-impossible,The Impossible,7/4/1905,Juan Antonio Bayona,Sergio G. Sánchez,"Ewan McGregor,  Naomi Watts,  Tom Holland",59
A Haunted House,tt2243537,2013,http://www.imdb.com/title/tt2243537/,1/11/2013,USA,31,/a-haunted-house,A Haunted House,1/11/2013,Michael Tiddes,"Marlon Wayans, Rick Alvarez","Marlon Wayans,  Nick Swardson,  David Koechner",4
Gangster Squad,tt1321870,2013,http://www.imdb.com/title/tt1321870/,1/11/2013,USA,23,/the-gangster-squad,Gangster Squad,1/11/2013,Ruben Fleischer,Will Beall,"Sean Penn,  Ryan Gosling,  Josh Brolin",53
Zero Dark Thirty,tt1790885,2013,http://www.imdb.com/title/tt1790885/,1/11/2013,USA,31,/zero-dark-thirty,Zero Dark Thirty,12/19/2012,Kathryn Bigelow,Mark Boal,"Jessica Chastain,  Joel Edgerton,  Mark Strong",44
Broken City,tt1235522,2013,http://www.imdb.com/title/tt1235522/,1/18/2013,USA,31,/broken-city,Broken City,1/18/2013,Allen Hughes,Brian Tucker,"Mark Wahlberg,  Russell Crowe,  Catherine Zeta-Jones",33
Mama,tt2023587,2013,http://www.imdb.com/title/tt2023587/,1/18/2013,USA,10,/mama,Mama,1/18/2013,Andy Muschietti,"Andy Muschietti, Neil Cross","Jessica Chastain,  Nikolaj Coster-Waldau,  Megan Charpentier",48
The Last Stand,tt1549920,2013,http://www.imdb.com/title/tt1549920/,1/18/2013,USA,31,/the-last-stand,The Last Stand,1/18/2013,Kim Jee-Woon,"Andrew Knauer, Jeffrey Nachmanoff","Arnold Schwarzenegger,  Zach Gilford,  Forest Whitaker",23
Hansel & Gretel: Witch Hunters,tt1428538,2013,http://www.imdb.com/title/tt1428538/,1/25/2013,USA,31,/hansel-gretel-witch-hunters,Hansel & Gretel: Witch Hunters,1/11/2013,Tommy Wirkola,"Dante Harper, Tommy Wirkola","Jeremy Renner,  Gemma Arterton,  Famke Janssen",57
Movie 43,tt1333125,2013,http://www.imdb.com/title/tt1333125/,1/25/2013,USA,31,/movie-43,Movie 43,1/25/2013,"Elizabeth Banks, Steven Brill","Will Carlough, Greg Pritikin","Chloë Grace Moretz,  Elizabeth Banks,  Hugh Jackman",50
Parker,tt1904996,2013,http://www.imdb.com/title/tt1904996/,1/25/2013,USA,4,/parker,Parker,1/25/2013,Taylor Hackford,John J. McLaughlin,"Jason Statham,  Jennifer Lopez,  Michael Chiklis",13
Bullet to the Head,tt1308729,2013,http://www.imdb.com/title/tt1308729/,2/1/2013,USA,31,/bullet-to-the-head,Bullet to the Head,2/1/2013,Walter Hill,"Walter Hill, Alessandro Camon","Sylvester Stallone,  Sung Kang,  Christian Slater",34
Stand Up Guys,tt1389096,2013,http://www.imdb.com/title/tt1389096/,2/1/2013,USA,31,/stand-up-guys,Stand Up Guys,1/11/2013,Fisher Stevens,Noah Haidle,"Al Pacino,  Christopher Walken,  Alan Arkin",3
Warm Bodies,tt1588173,2013,http://www.imdb.com/title/tt1588173/,2/1/2013,USA,4,/warm-bodies,Warm Bodies,2/1/2013,Jonathan Levine,Jonathan Levine,"Nicholas Hoult,  Teresa Palmer,  Rob Corddry",46
Identity Thief,tt2024432,2013,http://www.imdb.com/title/tt2024432/,2/8/2013,USA,29,/identity-thief,Identity Thief,2/8/2013,Seth Gordon,"Jerry Eeten, Craig Mazin","Jason Bateman,  Melissa McCarthy,  Jon Favreau",64
Side Effects,tt2053463,2013,http://www.imdb.com/title/tt2053463/,2/8/2013,USA,31,/side-effects,Side Effects,2/8/2013,Steven Soderbergh,Scott Z. Burns,"Jude Law,  Rooney Mara,  Catherine Zeta-Jones",51
A Good Day to Die Hard,tt1606378,2013,http://www.imdb.com/title/tt1606378/,2/14/2013,USA,31,/a-good-day-to-die-hard,A Good Day to Die Hard,2/14/2013,John Moore,Skip Woods,"Bruce Willis,  Jai Courtney,  Sebastian Koch",35
Beautiful Creatures,tt1559547,2013,http://www.imdb.com/title/tt1559547/,2/14/2013,USA,32,/beautiful-creatures-2013,Beautiful Creatures,2/14/2013,Richard LaGravenese,Richard LaGravenese,"Alden Ehrenreich,  Alice Englert,  Jeremy Irons",53
Safe Haven,tt1702439,2013,http://www.imdb.com/title/tt1702439/,2/14/2013,USA,8,/safe-haven,Safe Haven,2/8/2013,Lasse Hallström,Dana Stevens,"Josh Duhamel,  Julianne Hough,  David Lyons",41
Escape from Planet Earth,tt0765446,2013,http://www.imdb.com/title/tt0765446/,2/15/2013,USA,31,/escape-from-planet-earth,Escape from Planet Earth,2/14/2013,Cal Brunker,"Bob Barlen, Cal Brunker, Cory Edwards, Tony Leech","Sarah Jessica Parker,  Jessica Alba,  Brendan Fraser",48
Dark Skies,tt2387433,2013,http://www.imdb.com/title/tt2387433/,2/22/2013,USA,31,/dark-skies,Dark Skies,2/22/2013,Scott Stewart,Scott Stewart,"Keri Russell,  Josh Hamilton,  Dakota Goyo",24
Snitch,tt0882977,2013,http://www.imdb.com/title/tt0882977/,2/22/2013,USA,2,/snitch,Snitch,2/22/2013,Ric Roman Waugh,"Justin Haythe, Ric Roman Waugh","Dwayne Johnson,  Susan Sarandon,  Benjamin Bratt",21
21 & Over,tt1711425,2013,http://www.imdb.com/title/tt1711425/,3/1/2013,USA,30,/21-and-over,21 and Over,3/1/2013,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Miles Teller,  Justin Chon,  Skylar Astin",47
Jack the Giant Slayer,tt1351685,2013,http://www.imdb.com/title/tt1351685/,3/1/2013,USA,31,/jack-the-giant-killer,Jack the Giant Slayer,3/1/2013,Bryan Singer,"Darren Lemke, Christopher McQuarrie, Dan Studney","Nicholas Hoult,  Eleanor Tomlinson,  Stanley Tucci",52
Quartet,tt1441951,2013,http://www.imdb.com/title/tt1441951/,3/1/2013,USA,2,/quartet,Quartet,1/4/2013,Dustin Hoffman,Ronald Harwood,"Maggie Smith,  Billy Connolly,  Michael Gambon",9
The Last Exorcism Part II,tt2034139,2013,http://www.imdb.com/title/tt2034139/,3/1/2013,USA,31,/the-last-exorcism-part-ii,The Last Exorcism Part II,3/1/2013,Ed Gass-Donnelly,"Damien Chazelle, Ed Gass-Donnelly","Ashley Bell,  Louis Herthum",28
Dead Man Down,tt2101341,2013,http://www.imdb.com/title/tt2101341/,3/8/2013,USA,31,/dead-man-down,Dead Man Down,3/8/2013,Niels Arden Oplev,J.H. Wyman,"Colin Farrell,  Noomi Rapace,  Dominic Cooper",22
Oz the Great and Powerful,tt1623205,2013,http://www.imdb.com/title/tt1623205/,3/8/2013,USA,31,/oz-the-great-powerful,Oz The Great and Powerful,3/8/2013,Sam Raimi,"Mitchell Kapner, David Lindsay-Abaire","James Franco,  Mila Kunis,  Rachel Weisz",107
The Incredible Burt Wonderstone,tt0790628,2013,http://www.imdb.com/title/tt0790628/,3/15/2013,USA,12,/incredible-burt-wonderstone,The Incredible Burt Wonderstone,3/15/2013,Don Scardino,"Jonathan Goldstein, John Francis Daley","Steve Carell,  Steve Buscemi,  Olivia Wilde",44
The Call,tt1911644,2013,http://www.imdb.com/title/tt1911644/,3/15/2013,USA,31,/the-call,The Call,3/15/2013,Brad Anderson,Richard D'Ovidio,"Halle Berry,  Abigail Breslin,  Morris Chestnut",25
Admission,tt1814621,2013,http://www.imdb.com/title/tt1814621/,3/22/2013,USA,1,/admission,Admission,3/22/2013,Paul Weitz,"Paul Weitz, Karen Croner","Tina Fey,  Paul Rudd,  Michael Sheen",33
Olympus Has Fallen,tt2302755,2013,http://www.imdb.com/title/tt2302755/,3/22/2013,USA,25,/olympus-has-fallen,Olympus Has Fallen,3/22/2013,Antoine Fuqua,"Creighton Rothenberger, Katrin Benedikt","Gerard Butler,  Aaron Eckhart,  Morgan Freeman",36
Spring Breakers,tt2101441,2013,http://www.imdb.com/title/tt2101441/,3/22/2013,USA,24,/spring-breakers,Spring Breakers,3/15/2013,Harmony Korine,Harmony Korine,"James Franco,  Selena Gomez,  Vanessa Hudgens",38
The Croods,tt0481499,2013,http://www.imdb.com/title/tt0481499/,3/22/2013,USA,2,/the-croods,The Croods,3/22/2012,"Kirk De Micco, Chris Sanders","Kirk De Micco, Chris Sanders","Nicolas Cage,  Ryan Reynolds,  Emma Stone",82
G.I. Joe: Retaliation,tt1583421,2013,http://www.imdb.com/title/tt1583421/,3/28/2013,USA,29,/gi-joe-2-retaliation,G.I. Joe 2: Retaliation,3/28/2013,Jon M. Chu,"Rhett Reese, Paul Wernick","Channing Tatum,  Ray Park,  Dwayne Johnson",103
The Host,tt1517260,2013,http://www.imdb.com/title/tt1517260/,3/29/2013,USA,4,/the-host-2013,The Host,3/29/2013,Andrew Niccol,"Andrew Niccol, Stephenie Meyer","Saoirse Ronan,  Max Irons,  Jake Abel",58
Evil Dead,tt1288558,2013,http://www.imdb.com/title/tt1288558/,4/5/2013,USA,31,/evil-dead-2013,Evil Dead,4/12/2013,Fede Alvarez,"Fede Alvarez, Rodo Sayagues","Jane Levy,  Shiloh Fernandez,  Lou Taylor Pucci",63
42,tt0453562,2013,http://www.imdb.com/title/tt0453562/,4/12/2013,USA,2,/42,42,4/12/2013,Brian Helgeland,Brian Helgeland,"Harrison Ford,  Christopher Meloni,  Ryan Merriman",43
Scary Movie 5,tt0795461,2013,http://www.imdb.com/title/tt0795461/,4/12/2013,USA,31,/scary-movie-5,Scary Movie 5,4/12/2013,Malcolm D. Lee,"David Zucker, Pat Proft","Ashley Tisdale,  Erica Ash,  Lindsay Lohan",8
Filly Brown,tt1869425,2013,http://www.imdb.com/title/tt1869425/,4/19/2013,USA,15,/filly-brown,Filly Brown,4/26/2013,"Youssef Delara, Michael D. Olmos",Youssef Delara,"Gina Rodriguez,  Jenni Rivera,  Lou Diamond Phillips",15
Home Run,tt2051894,2013,http://www.imdb.com/title/tt2051894/,4/19/2013,USA,31,/home-run,Home Run,4/19/2013,David Boyd,"Brian Brightly, Candace Lee, Eric Newman, Melanie Wistar","Scott Elrod,  Vivica A. Fox,  Dorian Brown",2
Oblivion,tt1483013,2013,http://www.imdb.com/title/tt1483013/,4/19/2013,USA,5,/oblivion,Oblivion,4/12/2013,Joseph Kosinski,"Karl Gajdusek, Michael Debruyn","Tom Cruise,  Morgan Freeman,  Olga Kurylenko",68
The Place Beyond the Pines,tt1817273,2013,http://www.imdb.com/title/tt1817273/,4/19/2013,USA,31,/the-place-beyond-the-pines,The Place Beyond the Pines,3/29/2013,Derek Cianfrance,"Ben Coccio, Darius Marder, Derek Cianfrance","Ryan Gosling,  Bradley Cooper,  Eva Mendes",27
Kon-Tiki,tt1613750,2013,http://www.imdb.com/title/tt1613750/,4/26/2013,USA,1,/kon-tiki,Kon-Tiki,4/19/2013,"Joachim Rønning, Espen Sandberg","Petter Skavlan, Allan Scott",Paal Sverre Hagen,6
Pain & Gain,tt1980209,2013,http://www.imdb.com/title/tt1980209/,4/26/2013,USA,9,/pain-and-gain,Pain & Gain,4/26/2013,Michael Bay,"Christopher Markus, Stephen McFeely, Scott Rosenber","Mark Wahlberg,  Dwayne Johnson,  Anthony Mackie",72
The Big Wedding,tt1931435,2013,http://www.imdb.com/title/tt1931435/,4/26/2013,USA,31,/the-big-wedding,The Big Wedding,10/26/2012,Justin Zackham,Justin Zackham,"Amanda Seyfried,  Robert De Niro,  Katherine Heigl",24
The Company You Keep,tt1381404,2013,http://www.imdb.com/title/tt1381404/,4/26/2013,USA,31,/the-company-you-keep,The Company You Keep,9/6/2012,Robert Redford,Lem Dobbs,"Robert Redford,  Shia LaBeouf,  Julie Christie",4
Iron Man 3,tt1300854,2013,http://www.imdb.com/title/tt1300854/,5/3/2013,USA,31,/iron-man-3,Iron Man 3,5/3/2013,Shane Black,"Shane Black, Drew Pearce","Robert Downey Jr.,  Gwyneth Paltrow,  Don Cheadle",139
What Maisie Knew,tt1932767,2013,http://www.imdb.com/title/tt1932767/,5/3/2013,USA,31,/what-maisie-knew,What Maisie Knew,5/3/2013,"Scott McGehee, David Siegel","Nancy Doyne, Carroll Cartwright","Julianne Moore,  Alexander Skarsgard,  Steve Coogan",7
Mud,tt1935179,2013,http://www.imdb.com/title/tt1935179/,5/10/2013,USA,1,/mud,Mud,5/24/2012,Jeff Nichols,Jeff Nichols,"Reese Witherspoon,  Matthew McConaughey,  Michael Shannon",20
Peeples,tt1699755,2013,http://www.imdb.com/title/tt1699755/,5/10/2013,USA,1,/peeples,Peeples,5/10/2013,Tina Gordon Chism,Tina Gordon Chism,"Craig Robinson,  Kerry Washington,  David Alan Grier",31
The Great Gatsby,tt1343092,2013,http://www.imdb.com/title/tt1343092/,5/10/2013,USA,31,/the-great-gatsby,The Great Gatsby,5/10/2013,Baz Luhrmann,Baz Luhrmann,"Leonardo DiCaprio,  Tobey Maguire,  Joel Edgerton",91
Star Trek Into Darkness,tt1408101,2013,http://www.imdb.com/title/tt1408101/,5/16/2013,USA,31,/star-trek-into-darkness,Star Trek Into Darkness,5/17/2013,J.J. Abrams,"Alex Kurtzman, Roberto Orci, Damon Lindelof","John Cho,  Bruce Greenwood,  Simon Pegg",170
The Hangover Part III,tt1951261,2013,http://www.imdb.com/title/tt1951261/,5/23/2013,USA,31,/the-hangover-part-iii,The Hangover Part III,5/24/2013,Todd Phillips,"Todd Phillips, Craig Mazin","Bradley Cooper,  Ed Helms,  Zach Galifianakis",63
Epic,tt0848537,2013,http://www.imdb.com/title/tt0848537/,5/24/2013,USA,3,/epic-2013,Epic,5/24/2013,Chris Wedge,"Tom J. Astle, Matt Ember","Beyonce Knowles,  Colin Farrell,  Josh Hutcherson",79
Fast & Furious 6,tt1905041,2013,http://www.imdb.com/title/tt1905041/,5/24/2013,USA,26,/fast-and-furious-6,Fast & Furious 6,5/24/2013,Justin Lin,Chris Morgan,"Vin Diesel,  Paul Walker,  Dwayne Johnson",156
After Earth,tt1815862,2013,http://www.imdb.com/title/tt1815862/,5/31/2013,USA,31,/after-earth,After Earth,6/7/2013,M. Night Shyamalan,"Stephen Gaghan, Gary Whitta","Will Smith,  Jaden Smith,  Isabelle Fuhrman",40
Now You See Me,tt1670345,2013,http://www.imdb.com/title/tt1670345/,5/31/2013,USA,31,/now-you-see-me,Now You See Me,5/31/2013,Louis Leterrier,"Boaz Yakin, Edward Ricourt","Jesse Eisenberg,  Isla Fisher,  Morgan Freeman",60
The Internship,tt2234155,2013,http://www.imdb.com/title/tt2234155/,6/7/2013,USA,2,/the-internship,The Internship,6/7/2013,Shawn Levy,Vince Vaughn,"Vince Vaughn,  Owen Wilson,  Max Minghella",38
The Purge,tt2184339,2013,http://www.imdb.com/title/tt2184339/,6/7/2013,USA,6,/the-purge,The Purge,6/7/2013,James DeMonaco,James DeMonaco,"Ethan Hawke,  Lena Headey,  Adelaide Kane",15
This Is the End,tt1245492,2013,http://www.imdb.com/title/tt1245492/,6/12/2013,USA,31,/this-is-the-end,This is the End,6/14/2013,"Evan Goldberg, Seth Rogen","Evan Goldberg, Seth Rogen","Seth Rogen,  Jay Baruchel,  James Franco",69
Before Midnight,tt2209418,2013,http://www.imdb.com/title/tt2209418/,6/14/2013,USA,31,/before-midnight,Before Midnight,1/17/2013,Richard Linklater,"Julie Delpy, Ethan Hawke, Richard Linklater","Ethan Hawke,  Julie Delpy,  Xenia Kalogeropoulou",38
